Departure city index,Arrival city index,Average delay per trip (minutes),Speed (km/h),Cost for 50km for every 1kg good ,Departure time
295,305,56.8768342955278,34,0.61646998540521,10:54:27
105,170,47.143865374629,32,0.528599453483905,06:26:54
278,295,10.0977099558864,37,0.247312388025889,03:46:24
545,153,44.7979064280088,34,0.672579577056497,06:43:54
355,534,21.0746189168889,33,0.411713527636832,17:34:05
184,326,11.2168141879534,34,0.702304318688729,16:27:58
424,119,17.688525519195,31,0.294704406043521,21:54:25
224,153,78.7741762999592,32,0.412990959597745,23:38:30
641,412,76.7533739964364,31,0.437854539198406,11:48:48
248,510,4.84346561005493,35,0.613132187780428,22:20:22
617,589,1.09011098223215,32,0.383079863072784,04:01:47
545,601,76.3300544316719,31,0.795193408403326,12:51:51
398,617,55.5803111590697,34,0.730597601752213,02:45:44
5,119,60.8272834878603,35,0.68077487882121,05:38:46
362,568,37.5007674137987,37,0.152327258636295,12:26:15
391,49,8.4654650314628,32,0.27716002529925,03:24:52
170,247,21.735519031408,37,0.148815448651346,10:30:24
265,362,74.4259670700753,32,0.265531723411856,17:29:26
462,280,14.8126163268987,37,0.735774397986194,19:49:57
305,289,2.88318810549711,33,0.595722463978594,06:16:46
424,101,36.292013857634,32,0.529767750050661,03:57:02
362,604,32.1088306022433,36,0.128668371197482,22:13:41
198,295,64.0719175982344,32,0.384210740344214,08:26:27
124,623,72.2359228030428,35,0.165665489287443,14:00:32
398,534,7.59863303792794,35,0.259414030240387,00:30:58
625,591,7.67978840480158,32,0.604193450151221,11:04:18
623,280,46.4631699459375,36,0.588601403352222,07:38:42
483,143,30.2324432280571,32,0.353020467024595,22:14:50
315,124,8.51110701987589,34,0.386195030082012,12:29:16
170,598,8.69107346995572,31,0.734427749144003,19:20:20
198,441,0.0614021803145448,34,0.292080667931365,00:07:03
153,198,65.6526057214085,34,0.508749245718457,16:26:00
251,153,37.852086325521,35,0.593587264165448,09:41:31
248,184,29.8352274104308,33,0.374498379811465,07:32:31
278,512,29.5683257900193,35,0.207906709748165,22:21:56
336,304,44.0634855476229,31,0.117181262024811,03:01:26
270,125,36.2907719273199,34,0.778973541484241,13:35:51
505,362,35.4725027371351,31,0.574909562613669,01:19:30
344,163,2.86898002626799,33,0.547630141684423,00:53:23
280,270,73.3142063506977,32,0.494103539399299,13:07:40
625,591,56.5662758460742,34,0.199332234261252,05:31:44
315,78,43.2463596483815,34,0.656659318981453,13:24:31
154,379,35.9834168035121,32,0.729978936341221,18:01:45
30,391,44.2702471993532,34,0.104571864322021,17:20:49
105,78,19.2289810764405,31,0.186362888141223,11:00:10
344,315,73.4663852419829,32,0.553096945359101,21:11:12
183,386,74.6172672607499,35,0.66445007069135,01:12:31
30,386,55.8209271879001,34,0.273462368387376,07:24:05
201,207,26.7141910591047,32,0.170866582393468,05:46:14
500,442,26.5740054337173,37,0.323403294174004,18:21:16
391,553,19.2052998542816,35,0.747791441220124,02:51:28
153,379,65.9926712692494,33,0.132536013878196,09:34:36
505,326,16.3836070831983,34,0.433290179159442,16:08:25
183,344,2.2227940474034,31,0.71637639854857,03:31:00
386,224,32.5568209702169,37,0.17513760719295,03:48:12
441,336,0.548185322843748,35,0.714475995024625,18:27:23
224,589,48.6748861901401,32,0.491099638769121,03:09:05
278,604,61.7801973470271,33,0.577621756294824,13:37:45
483,163,76.6298255081417,32,0.625630644235063,07:11:12
289,336,61.8120821240654,34,0.414263355830919,00:53:54
617,239,18.4580885130011,31,0.453174288612399,10:34:53
362,398,52.1351980967776,32,0.776400824793471,10:24:21
124,135,21.8646423412586,37,0.404276501322967,18:11:38
220,125,49.1631384383996,33,0.117003469522605,13:38:15
184,462,26.5965885798822,37,0.188701563633085,16:35:17
346,30,6.77688071081885,34,0.158458564518842,08:13:45
239,135,77.9476107378386,33,0.724533622518586,05:15:35
251,49,53.5379437429555,34,0.725270499876354,11:48:05
442,265,27.369474021092,37,0.250040314900859,11:28:35
623,391,9.12669268912401,33,0.316401655706356,20:28:19
362,248,75.9595350199121,31,0.363618397041217,14:22:24
135,153,37.9329776046565,35,0.342424747074831,07:31:47
289,570,21.1029368727385,37,0.459048351023044,17:43:34
198,336,21.6548160158542,35,0.122384287710212,12:16:23
224,413,27.679148509159,31,0.22447028595352,18:10:44
5,412,1.93753836584214,36,0.53754030388386,10:13:08
54,143,62.7523725231448,34,0.375300123068038,09:39:30
49,413,27.6272501828883,35,0.154738354023551,22:12:50
196,54,58.6039886931762,37,0.416951263918745,13:09:09
205,295,30.1689651400855,34,0.712079129568249,04:25:07
642,248,50.6664041130398,37,0.311500252349875,03:37:19
7,424,6.91177406710588,35,0.455391268852414,12:50:25
651,251,16.074655241348,32,0.339823412059576,09:31:28
78,270,10.2325916796466,31,0.355097668681707,07:36:43
362,512,73.5553088565175,33,0.715129890444051,15:38:38
534,143,60.4613947942895,31,0.508059684078397,20:39:50
