Departure city index,Arrival city index,Average delay per trip (minutes),Speed (km/h),Cost for 50km for every 1kg good ,Departure time
278,299,4.10257183786436,101,0.618754964901131,12:32:36
620,336,11.7345007348357,90,1.25890283830914,01:54:57
45,608,13.847698718737,101,0.576710045124002,03:29:05
274,496,12.1484119735121,97,1.36408043916282,02:19:03
323,591,23.3636621903087,90,0.985682912060393,10:48:20
124,616,19.2176151887612,101,0.64570029526776,07:42:23
353,276,18.4811098905338,98,1.37258659188027,19:34:15
227,137,36.7073820821698,98,0.612646059302349,06:42:31
606,14,19.1853572281289,97,1.39286296125614,20:14:48
489,407,1.74927743677605,93,0.62588456098795,12:25:04
193,280,16.7261083970813,91,0.463010874375773,12:55:15
486,306,29.5295531022284,98,1.35093855876405,17:32:28
441,425,21.4040818805595,95,0.985129427347448,00:51:37
171,344,13.2638682168194,95,1.26619322676436,19:39:54
154,402,18.1660907764162,88,1.12614862848162,23:59:01
473,226,12.1959731830376,86,0.918874881191408,21:16:56
291,535,7.24249710507876,102,1.38998058644428,23:43:44
196,146,17.5136192204679,88,0.726714240065522,16:53:54
126,544,34.3382204029069,82,0.788163754773378,13:33:25
473,586,0.489578510793542,97,1.24059132433048,13:43:44
359,587,31.5702775892065,81,0.538708545505003,17:03:36
103,220,24.9144990217137,82,1.35275543800751,21:43:09
48,49,35.3907947677602,93,1.18985421222111,07:21:26
410,23,19.9855980637181,89,0.815590717713477,01:08:47
147,58,24.7641195827031,83,0.794385460478495,12:09:50
345,389,19.8433188478721,86,0.76314072764148,16:08:39
150,331,11.4543825276134,91,1.25890597042225,17:30:14
202,4,3.31705936012034,92,1.02503503321552,00:03:29
417,114,35.2057159955322,90,0.609624087974714,18:58:47
420,51,20.2311411752271,101,0.78367315938993,14:43:29
348,655,7.62297418801062,94,1.16715686027442,17:20:28
251,412,7.98386954436475,87,1.17344515895741,07:47:32
73,360,38.8806226746644,99,0.580488955982791,01:41:23
42,130,27.8946595750935,97,0.848897341216445,16:11:37
479,276,29.0202599030026,89,1.31648272748893,19:12:23
242,261,9.99543689920094,101,0.527305152192764,02:53:04
242,450,29.4826648000654,86,0.88198390595673,16:55:04
162,198,31.1526115437632,94,1.22451403446881,00:37:14
142,601,15.1402036273228,84,0.412163676106984,03:25:50
119,101,0.349729693950045,84,0.616168565144141,07:36:47
504,654,6.26903206140085,100,0.800677712759483,01:31:03
631,331,19.4819817391291,103,0.413006523839335,10:14:18
58,559,33.9253819014473,101,1.01527115302805,08:00:49
612,395,31.1169682971079,92,1.37417437571967,16:14:09
98,336,26.4086072123023,85,1.27433426804814,12:13:27
530,264,27.2612257370893,82,1.00848845216576,01:14:33
105,258,9.78684758158394,85,0.448740949545069,11:59:21
590,343,21.6743136115657,101,0.531529742940467,21:14:25
489,477,10.7263967710427,100,1.34217535940608,00:24:27
592,82,26.1679109653462,90,0.50857631772618,03:29:14
