Departure city index,Arrival city index,Departure time,Arrival time,Cost for every 1kg good
5,18,355.2,481.90609759880584,2.8323690279394347
5,39,1024.1666666666667,1208.9898292920673,2.7723888222307926
5,49,1180.6666666666667,1236.2690790201787,20.603266012593785
5,54,10.533333333333333,242.08504807649652,15.735899801385159
5,72,1177.6833333333334,1295.5235841630576,21.166913723506738
5,93,393.45,483.41013147099267,16.850279561263086
5,93,1093.1166666666666,1222.0567282980705,11.098084810849118
5,105,554.5166666666668,815.7282011569465,10.179368712920473
5,119,1405.1166666666666,1633.6614335743952,13.727295972804349
5,125,778.4833333333332,1024.9073544384314,2.8424010673596163
5,135,970.6166666666667,1079.7481453312316,20.402323672575125
5,150,434.06666666666666,657.0269145971085,12.43548321937561
5,154,874.5,1083.996981464724,17.291332174950405
5,170,1214.15,1377.4156456380038,10.695319228783054
5,184,405.13333333333327,579.2156846542866,26.69328202549031
5,184,723.15,913.106175554874,13.761958373753586
5,196,1113.3333333333333,1363.733733516701,23.847813954149093
5,202,698.6833333333333,853.3962228457326,28.39288631676282
5,202,1242.3166666666666,1510.7170433956305,19.468558738708307
5,227,609.75,705.4251449953586,24.834763933740497
5,239,608.3666666666667,686.6236366838838,4.373074462297342
5,239,636.7666666666668,846.9166511174718,2.8772332907049907
5,239,683.9833333333332,854.9062892627041,2.4482720875424646
5,251,1164.75,1229.887823953498,13.739300121426007
5,269,977.7166666666667,1256.9381720897238,31.468355473261948
5,279,45.01666666666666,252.02048539926392,9.611360967914305
5,279,1067.7333333333333,1099.5476171449402,6.002426229644443
5,285,775.6333333333333,827.7452505080786,22.06893274597164
5,285,1073.6166666666666,1341.7498096530892,15.890622422102249
5,285,1340.75,1410.440632826284,10.56929505858194
5,291,174.05,274.88330863372556,6.288350464240812
5,360,1089.35,1135.5577444535347,2.557953066907228
5,391,1177.9166666666667,1394.7026833558791,14.254373752200115
5,410,184.5,351.28007461160263,8.746958358631124
5,424,199.6833333333333,438.979907619451,14.713569457201837
5,424,349.7333333333333,577.5456842964095,31.910094628454534
5,464,969.3666666666667,1030.6864686573545,8.19075617939649
5,512,900.8833333333333,1020.4513175077756,25.481715100789376
5,534,1147.6,1337.467183092745,22.82295699185663
5,543,313.3,521.3054990247862,6.497039576511941
5,544,1164.85,1236.4982729372425,7.667635017096294
5,570,169.6,285.12558908926286,4.321786294449438
5,580,774.2333333333332,983.0544077565642,11.822979824329169
5,586,161.46666666666667,338.0053346855512,6.4881049450466755
5,588,662.35,836.4704579326802,4.44969920139654
5,588,1357.6333333333334,1538.3103470922033,2.0179634727747153
5,591,1135.0833333333333,1170.578470401687,11.23229789206126
5,612,737.4333333333333,936.0796536373373,4.2641128757338285
5,612,849.4166666666665,897.2702308771909,3.5273860228170104
5,620,535.1166666666667,673.4953590013307,30.87320894900925
5,623,259.1166666666667,495.5315118551098,29.89105331773814
5,626,1273.5833333333333,1357.2246789562566,8.898163268382387
7,27,813.9666666666667,1009.8415118219446,31.141752672015173
7,30,1005.45,1108.0436378465783,7.486416980829771
7,52,291.48333333333335,466.608786515918,8.277190361094698
7,52,1392.3166666666666,1455.4059322705566,5.233796324586202
7,69,1011.7166666666667,1296.2413603873053,31.935138960482732
7,78,1354.6,1569.7007764014793,21.998592919037883
7,84,1228.85,1298.9048188025042,27.25988595663102
7,84,1376.8166666666666,1513.3981733112191,33.815107615798986
7,97,1298.05,1430.879051501808,24.991432442187694
7,105,701.4166666666665,931.8865720945377,1.8378973278216733
7,115,1147.45,1395.8713769675633,5.799402080549483
7,149,1075.6,1251.8874574203985,2.7793768177131604
7,152,357.46666666666664,615.9084504637459,22.283448002760288
7,188,1221.4,1435.4975605800778,5.76848537627454
7,203,1271.9333333333334,1470.3567663922327,2.711186554979375
7,205,823.5166666666668,944.0168402427244,19.272545190378327
7,233,1292.2333333333333,1384.6151888378622,18.890382703658737
7,278,218.06666666666663,326.38529828652213,25.11947501636877
7,285,1402.6333333333334,1534.8076817174253,14.472582314153163
7,291,1260.7333333333333,1388.4885676906151,38.27632930174802
7,305,1076.6333333333334,1151.5348061926586,5.078482710140975
7,326,641.6833333333333,697.5172395005033,12.198057142748695
