Departure city index,Arrival city index,Average delay per trip (minutes),Speed (km/h),Cost for 50km for every 1kg good ,Departure time,Arrival time,Cost for every 1kg good
5,18,117.775241982161,668,1.4243002833513,355.2,481.9060975988058,2.8323690279394347
5,39,175.70751176224098,665,1.37203776569513,1024.1666666666667,1208.9898292920673,2.7723888222307926
5,49,9.676753312496698,664,2.0269071186216103,1180.6666666666667,1236.2690790201787,20.603266012593785
5,54,205.14853132002898,652,2.74226201358162,10.533333333333333,242.0850480764965,15.73589980138516
5,72,72.4129535599115,571,2.44808102199283,1177.6833333333334,1295.5235841630576,21.16691372350674
5,93,46.190768602398606,661,1.74725656532073,393.45,483.4101314709926,16.850279561263086
5,93,82.2008873888502,619,1.15079405524052,1093.1166666666666,1222.0567282980703,11.098084810849121
5,105,227.863430498769,624,1.4675278891636399,554.5166666666667,815.7282011569466,10.179368712920471
5,119,185.73029910478002,573,1.67865357743693,1405.1166666666666,1633.6614335743952,13.727295972804347
5,125,238.264708673765,592,1.76535211565829,778.4833333333333,1024.9073544384314,2.842401067359616
5,135,57.2952952147081,653,1.8082342391772699,970.6166666666667,1079.7481453312316,20.402323672575125
5,150,169.313744194492,649,1.07151387836977,434.06666666666666,657.0269145971085,12.43548321937561
5,154,170.60136550144,615,2.16857246607554,874.5,1083.996981464724,17.291332174950405
5,170,136.03346572591002,594,1.9835637086748201,1214.15,1377.4156456380038,10.695319228783054
5,184,123.129404806309,628,2.50261637821218,405.1333333333333,579.2156846542866,26.69328202549031
5,184,139.405700971625,633,1.29024607725424,723.15,913.106175554874,13.761958373753586
5,196,208.728866574888,669,2.5662811154084,1113.3333333333333,1363.733733516701,23.847813954149096
5,202,108.835510046469,619,2.9994494448887097,698.6833333333333,853.3962228457325,28.39288631676282
5,202,225.43805011866002,661,2.05667564227615,1242.3166666666666,1510.7170433956303,19.46855873870831
5,227,57.099514744867,671,2.87836417324485,609.75,705.4251449953586,24.834763933740497
5,239,70.8597780108383,646,2.74541952111478,608.3666666666667,686.6236366838837,4.373074462297342
5,239,202.953318733756,664,1.8063292795963601,636.7666666666667,846.9166511174717,2.8772332907049907
5,239,162.754432790703,585,1.53702710532133,683.9833333333333,854.9062892627041,2.4482720875424646
5,251,39.420627698874796,669,2.39572038478989,1164.75,1229.8878239534981,13.739300121426009
5,269,220.96243375416802,662,2.4477877252106004,977.7166666666667,1256.9381720897238,31.468355473261948
5,279,187.46520052559399,668,2.20920406493283,45.016666666666666,252.02048539926392,9.611360967914305
5,279,12.363021572742099,671,1.37967811949399,1067.7333333333333,1099.5476171449402,6.002426229644443
5,285,7.2893702862364504,628,2.3520492537092097,775.6333333333333,827.7452505080786,22.068932745971637
5,285,221.529567744728,604,1.69358106434498,1073.6166666666666,1341.7498096530892,15.890622422102249
5,285,23.846073468004498,614,1.1264478822297301,1340.75,1410.440632826284,10.569295058581941
